samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc,mi_params,mrmr_params,mi_mrmr_params,pca_params
subsample_7.csv,svc,75,0.855769231,0.852941176,0.855769231,0.870192308,0.866995074,0.870192308,0.865384615,0.862745098,0.865384615,0.860576923,0.855721393,0.860576923,"{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}","{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}","{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}","{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}"
subsample_6.csv,svc,75,0.855769231,0.851485149,0.855769231,0.870192308,0.866995074,0.870192308,0.860576923,0.857142857,0.860576923,0.860576923,0.855721393,0.860576923,"{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}","{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}","{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}","{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}"
subsample_10.csv,svc,75,0.855769231,0.851485149,0.855769231,0.870192308,0.866995074,0.870192308,0.865384615,0.861386139,0.865384615,0.860576923,0.855721393,0.860576923,"{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}","{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}","{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}","{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}"
subsample_4.csv,svc,75,0.860576923,0.857142857,0.860576923,0.870192308,0.866995074,0.870192308,0.865384615,0.862745098,0.865384615,0.860576923,0.855721393,0.860576923,"{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}","{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}","{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}","{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}"
subsample_5.csv,svc,75,0.865384615,0.862745098,0.865384615,0.870192308,0.866995074,0.870192308,0.865384615,0.861386139,0.865384615,0.860576923,0.855721393,0.860576923,"{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}","{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}","{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}","{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}"
subsample_1.csv,svc,75,0.850961538,0.845771144,0.850961538,0.870192308,0.866995074,0.870192308,0.870192308,0.866995074,0.870192308,0.860576923,0.855721393,0.860576923,"{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}","{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}","{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}","{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}"
subsample_2.csv,svc,75,0.865384615,0.862745098,0.865384615,0.870192308,0.866995074,0.870192308,0.865384615,0.862745098,0.865384615,0.860576923,0.855721393,0.860576923,"{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}","{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}","{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}","{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}"
subsample_3.csv,svc,75,0.855769231,0.851485149,0.855769231,0.870192308,0.866995074,0.870192308,0.855769231,0.851485149,0.855769231,0.860576923,0.855721393,0.860576923,"{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}","{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}","{'C': 100, 'gamma': 'scale', 'kernel': 'poly'}","{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}"
subsample_8.csv,xgbc,75,0.889423077,0.890995261,0.889423077,0.889423077,0.892018779,0.889423077,0.889423077,0.892018779,0.889423077,0.865384615,0.866666667,0.865384615,"{'max_depth': 3, 'n_estimators': 50}","{'max_depth': 10, 'n_estimators': 50}","{'max_depth': 5, 'n_estimators': 100}","{'max_depth': 10, 'n_estimators': 100}"
subsample_9.csv,xgbc,75,0.879807692,0.880382775,0.879807692,0.889423077,0.892018779,0.889423077,0.879807692,0.881516588,0.879807692,0.865384615,0.866666667,0.865384615,"{'max_depth': 3, 'n_estimators': 10}","{'max_depth': 10, 'n_estimators': 50}","{'max_depth': 5, 'n_estimators': 100}","{'max_depth': 10, 'n_estimators': 100}"
