samples,models,percentiles,accuracy,f1_score,auc
5,svc,20,0.8221153846153846,0.821256038647343,0.8221153846153846
6,svc,20,0.8173076923076923,0.8173076923076923,0.8173076923076923
7,svc,20,0.8413461538461539,0.8436018957345972,0.8413461538461537
8,svc,20,0.8365384615384616,0.8365384615384616,0.8365384615384617
9,svc,20,0.8173076923076923,0.8207547169811321,0.8173076923076925
10,svc,20,0.8221153846153846,0.8246445497630331,0.8221153846153847
1,xgbc,20,0.8269230769230769,0.834862385321101,0.826923076923077
2,xgbc,20,0.8173076923076923,0.8207547169811321,0.8173076923076925
3,xgbc,20,0.8605769230769231,0.8571428571428572,0.8605769230769231
4,xgbc,20,0.8846153846153846,0.8846153846153846,0.8846153846153845
5,xgbc,20,0.8605769230769231,0.8651162790697674,0.860576923076923
6,xgbc,20,0.8798076923076923,0.8792270531400966,0.8798076923076923
7,xgbc,20,0.8653846153846154,0.8585858585858587,0.8653846153846153
8,xgbc,20,0.8461538461538461,0.8518518518518519,0.8461538461538461
9,xgbc,20,0.8557692307692307,0.8571428571428571,0.8557692307692308
10,xgbc,20,0.8701923076923077,0.8682926829268293,0.8701923076923077
1,lr,30,0.7740384615384616,0.7813953488372093,0.7740384615384616
2,lr,30,0.8125,0.8115942028985508,0.8125
3,lr,30,0.8221153846153846,0.8195121951219512,0.8221153846153847
4,lr,30,0.8221153846153846,0.8195121951219512,0.8221153846153847
5,lr,30,0.8269230769230769,0.8235294117647058,0.8269230769230769
6,lr,30,0.8317307692307693,0.8275862068965517,0.8317307692307694
7,lr,30,0.8269230769230769,0.8235294117647058,0.8269230769230769
8,lr,30,0.8317307692307693,0.8241206030150754,0.8317307692307692
9,lr,30,0.8317307692307693,0.8258706467661692,0.8317307692307693
10,lr,30,0.8173076923076923,0.8155339805825242,0.8173076923076923
1,rfc,30,0.8125,0.8251121076233184,0.8125
2,rfc,30,0.8317307692307693,0.8372093023255813,0.8317307692307694
3,rfc,30,0.8509615384615384,0.8502415458937198,0.8509615384615385
4,rfc,30,0.9134615384615384,0.9150943396226415,0.9134615384615385
5,rfc,30,0.8701923076923077,0.8767123287671234,0.8701923076923077
6,rfc,30,0.8894230769230769,0.892018779342723,0.8894230769230769
7,rfc,30,0.8846153846153846,0.883495145631068,0.8846153846153846
8,rfc,30,0.8605769230769231,0.867579908675799,0.860576923076923
9,rfc,30,0.8605769230769231,0.8625592417061612,0.860576923076923
10,rfc,30,0.8894230769230769,0.8949771689497716,0.8894230769230769
1,svc,30,0.7788461538461539,0.7909090909090908,0.7788461538461539
