samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc
1,rfc,10,0.8557692307692307,0.8571428571428571,0.8557692307692308,0.8509615384615384,0.8516746411483254,0.8509615384615385,0.8509615384615384,0.8516746411483254,0.8509615384615385,0.8076923076923077,0.8058252427184466,0.8076923076923077
2,rfc,10,0.8605769230769231,0.8542713567839197,0.8605769230769231,0.8557692307692307,0.854368932038835,0.8557692307692308,0.8798076923076923,0.8768472906403941,0.8798076923076923,0.8125,0.8078817733990148,0.8124999999999999
3,rfc,10,0.8317307692307693,0.8387096774193548,0.8317307692307692,0.8125,0.8169014084507041,0.8125,0.8413461538461539,0.8465116279069766,0.8413461538461539,0.7932692307692307,0.7962085308056873,0.7932692307692308
4,rfc,10,0.8461538461538461,0.8545454545454546,0.846153846153846,0.8269230769230769,0.8285714285714286,0.826923076923077,0.8557692307692307,0.8611111111111112,0.8557692307692307,0.8125,0.8097560975609756,0.8125
5,rfc,10,0.8990384615384616,0.9023255813953489,0.8990384615384616,0.8701923076923077,0.8656716417910447,0.8701923076923078,0.8846153846153846,0.8823529411764707,0.8846153846153846,0.8365384615384616,0.8300000000000001,0.8365384615384616
6,rfc,10,0.8173076923076923,0.8347826086956522,0.8173076923076924,0.8269230769230769,0.8363636363636363,0.8269230769230769,0.8221153846153846,0.8340807174887893,0.8221153846153846,0.75,0.7657657657657657,0.75
7,rfc,10,0.8701923076923077,0.8732394366197184,0.8701923076923077,0.8413461538461539,0.8436018957345972,0.8413461538461537,0.8557692307692307,0.854368932038835,0.8557692307692308,0.7788461538461539,0.7850467289719626,0.7788461538461539
8,rfc,10,0.8605769230769231,0.8651162790697674,0.860576923076923,0.8509615384615384,0.8530805687203792,0.8509615384615385,0.8461538461538461,0.8490566037735849,0.8461538461538461,0.7980769230769231,0.7961165048543688,0.798076923076923
9,rfc,10,0.8509615384615384,0.8597285067873303,0.8509615384615384,0.8221153846153846,0.8310502283105022,0.8221153846153845,0.8125,0.8219178082191783,0.8125,0.7788461538461539,0.7830188679245284,0.7788461538461539
10,rfc,10,0.8798076923076923,0.8803827751196172,0.8798076923076923,0.8461538461538461,0.8415841584158416,0.8461538461538461,0.8701923076923077,0.8708133971291866,0.8701923076923077,0.8028846153846154,0.8019323671497586,0.8028846153846154
