samples,models,percentiles,mi_accuracy,mi_f1_score,mi_auc,mrmr_accuracy,mrmr_f1_score,mrmr_auc,mi_mrmr_accuracy,mi_mrmr_f1_score,mi_mrmr_auc,pca_accuracy,pca_f1_score,pca_auc,mi_params,mrmr_params,mi_mrmr_params,pca_params
6,svc,10,0.8413461538461539,0.8450704225352115,0.8413461538461539,0.8509615384615384,0.8516746411483254,0.8509615384615385,0.8509615384615384,0.845771144278607,0.8509615384615384,0.7932692307692307,0.8018433179723502,0.7932692307692308,"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}","{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}","{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}"
7,svc,10,0.8461538461538461,0.8415841584158416,0.8461538461538461,0.8509615384615384,0.8516746411483254,0.8509615384615385,0.8365384615384616,0.8316831683168318,0.8365384615384616,0.7932692307692307,0.8018433179723502,0.7932692307692308,"{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}","{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}","{'C': 10, 'gamma': 'auto', 'kernel': 'linear'}","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}"
8,svc,10,0.8509615384615384,0.8472906403940886,0.8509615384615384,0.8509615384615384,0.8516746411483254,0.8509615384615385,0.8509615384615384,0.845771144278607,0.8509615384615384,0.7932692307692307,0.8018433179723502,0.7932692307692308,"{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}","{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}","{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}"
9,svc,10,0.8413461538461539,0.8358208955223881,0.8413461538461539,0.8509615384615384,0.8516746411483254,0.8509615384615385,0.8413461538461539,0.8450704225352115,0.8413461538461539,0.7932692307692307,0.8018433179723502,0.7932692307692308,"{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}","{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}","{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}"
10,svc,10,0.8413461538461539,0.8358208955223881,0.8413461538461539,0.8509615384615384,0.8516746411483254,0.8509615384615385,0.8413461538461539,0.8436018957345972,0.8413461538461537,0.7932692307692307,0.8018433179723502,0.7932692307692308,"{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}","{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}","{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}","{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}"
1,xgbc,10,0.875,0.8737864077669903,0.875,0.8557692307692307,0.854368932038835,0.8557692307692308,0.8605769230769231,0.8599033816425121,0.8605769230769231,0.8125,0.8186046511627907,0.8125,"{'max_depth': 3, 'n_estimators': 50}","{'max_depth': 3, 'n_estimators': 10}","{'max_depth': 3, 'n_estimators': 10}","{'max_depth': 10, 'n_estimators': 10}"
2,xgbc,10,0.8701923076923077,0.8695652173913043,0.8701923076923077,0.8557692307692307,0.854368932038835,0.8557692307692308,0.8605769230769231,0.8599033816425121,0.8605769230769231,0.8125,0.8186046511627907,0.8125,"{'max_depth': 3, 'n_estimators': 50}","{'max_depth': 3, 'n_estimators': 10}","{'max_depth': 3, 'n_estimators': 10}","{'max_depth': 10, 'n_estimators': 50}"
3,xgbc,10,0.8701923076923077,0.8695652173913043,0.8701923076923077,0.8557692307692307,0.854368932038835,0.8557692307692308,0.8605769230769231,0.8599033816425121,0.8605769230769231,0.8076923076923077,0.8130841121495327,0.8076923076923077,"{'max_depth': 3, 'n_estimators': 10}","{'max_depth': 3, 'n_estimators': 10}","{'max_depth': 3, 'n_estimators': 10}","{'max_depth': 10, 'n_estimators': 10}"
4,xgbc,10,0.8798076923076923,0.8792270531400966,0.8798076923076923,0.8557692307692307,0.854368932038835,0.8557692307692308,0.8605769230769231,0.8612440191387559,0.8605769230769231,0.8125,0.8186046511627907,0.8125,"{'max_depth': 5, 'n_estimators': 50}","{'max_depth': 3, 'n_estimators': 10}","{'max_depth': 5, 'n_estimators': 50}","{'max_depth': 5, 'n_estimators': 100}"
5,xgbc,10,0.8701923076923077,0.8695652173913043,0.8701923076923077,0.8557692307692307,0.854368932038835,0.8557692307692308,0.8605769230769231,0.8599033816425121,0.8605769230769231,0.7980769230769231,0.8055555555555556,0.7980769230769231,"{'max_depth': 3, 'n_estimators': 10}","{'max_depth': 3, 'n_estimators': 10}","{'max_depth': 3, 'n_estimators': 10}","{'max_depth': 3, 'n_estimators': 100}"
