samples,models,percentiles,accuracy,f1_score,auc
3,xgbc,10,0.8413461538461539,0.8390243902439023,0.8413461538461539
4,xgbc,10,0.8846153846153846,0.8823529411764707,0.8846153846153846
5,xgbc,10,0.8557692307692307,0.8571428571428571,0.8557692307692308
6,xgbc,10,0.8653846153846154,0.8640776699029126,0.8653846153846154
7,xgbc,10,0.875,0.8725490196078431,0.8750000000000001
8,xgbc,10,0.8269230769230769,0.830188679245283,0.826923076923077
9,xgbc,10,0.8605769230769231,0.8612440191387559,0.8605769230769231
10,xgbc,10,0.8413461538461539,0.8421052631578948,0.841346153846154
1,lr,20,0.7740384615384616,0.7813953488372093,0.7740384615384616
2,lr,20,0.8173076923076923,0.8155339805825242,0.8173076923076923
3,lr,20,0.8076923076923077,0.8058252427184466,0.8076923076923077
4,lr,20,0.8221153846153846,0.8195121951219512,0.8221153846153847
5,lr,20,0.8317307692307693,0.8275862068965517,0.8317307692307694
6,lr,20,0.8365384615384616,0.8333333333333334,0.8365384615384616
7,lr,20,0.8221153846153846,0.8159203980099502,0.8221153846153846
8,lr,20,0.8269230769230769,0.8200000000000001,0.826923076923077
9,lr,20,0.8413461538461539,0.8374384236453203,0.8413461538461539
10,lr,20,0.8221153846153846,0.8195121951219512,0.8221153846153847
1,rfc,20,0.8076923076923077,0.8214285714285715,0.8076923076923077
2,rfc,20,0.8317307692307693,0.8387096774193548,0.8317307692307692
3,rfc,20,0.8365384615384616,0.8349514563106797,0.8365384615384616
4,rfc,20,0.9086538461538461,0.9107981220657276,0.9086538461538461
5,rfc,20,0.8605769230769231,0.867579908675799,0.860576923076923
6,rfc,20,0.8798076923076923,0.881516587677725,0.8798076923076923
7,rfc,20,0.8653846153846154,0.8679245283018868,0.8653846153846154
8,rfc,20,0.8653846153846154,0.8715596330275229,0.8653846153846153
9,rfc,20,0.8509615384615384,0.8558139534883721,0.8509615384615384
10,rfc,20,0.8942307692307693,0.8962264150943395,0.8942307692307692
1,svc,20,0.7932692307692307,0.8054298642533936,0.7932692307692308
2,svc,20,0.8173076923076923,0.819047619047619,0.8173076923076923
3,svc,20,0.8173076923076923,0.8224299065420562,0.8173076923076924
4,svc,20,0.8173076923076923,0.819047619047619,0.8173076923076923
5,svc,20,0.8269230769230769,0.8269230769230769,0.8269230769230769
6,svc,20,0.8125,0.815165876777251,0.8125
7,svc,20,0.8365384615384616,0.8411214953271028,0.8365384615384616
8,svc,20,0.8461538461538461,0.8446601941747574,0.8461538461538463
9,svc,20,0.8173076923076923,0.8224299065420562,0.8173076923076924
10,svc,20,0.8269230769230769,0.825242718446602,0.8269230769230769
1,xgbc,20,0.8173076923076923,0.8272727272727273,0.8173076923076923
2,xgbc,20,0.8317307692307693,0.8341232227488151,0.8317307692307693
