samples,models,percentiles,accuracy,f1_score,auc
8,lr,30,0.8317307692307693,0.8258706467661692,0.8317307692307693
9,lr,30,0.8221153846153846,0.8177339901477833,0.8221153846153846
10,lr,30,0.8125,0.8097560975609756,0.8125
1,rfc,30,0.8269230769230769,0.8363636363636363,0.8269230769230769
2,rfc,30,0.8461538461538461,0.8518518518518519,0.8461538461538461
3,rfc,30,0.8653846153846154,0.8691588785046728,0.8653846153846154
4,rfc,30,0.9038461538461539,0.9056603773584906,0.9038461538461539
5,rfc,30,0.8701923076923077,0.8755760368663594,0.8701923076923076
6,rfc,30,0.875,0.8785046728971962,0.8749999999999999
7,rfc,30,0.8605769230769231,0.8612440191387559,0.8605769230769231
8,rfc,30,0.8701923076923077,0.8755760368663594,0.8701923076923076
9,rfc,30,0.8653846153846154,0.8703703703703703,0.8653846153846153
10,rfc,30,0.8798076923076923,0.8837209302325582,0.8798076923076923
1,svc,30,0.7740384615384616,0.7892376681614349,0.7740384615384615
2,svc,30,0.8269230769230769,0.8317757009345793,0.826923076923077
3,svc,30,0.7980769230769231,0.8018867924528303,0.798076923076923
4,svc,30,0.8269230769230769,0.8285714285714286,0.826923076923077
5,svc,30,0.8173076923076923,0.819047619047619,0.8173076923076923
6,svc,30,0.8317307692307693,0.8325358851674641,0.8317307692307692
7,svc,30,0.8317307692307693,0.835680751173709,0.8317307692307693
8,svc,30,0.8317307692307693,0.8292682926829268,0.8317307692307693
9,svc,30,0.8221153846153846,0.8246445497630331,0.8221153846153847
10,svc,30,0.8269230769230769,0.8285714285714286,0.826923076923077
1,xgbc,30,0.7932692307692307,0.8018433179723502,0.7932692307692308
2,xgbc,30,0.8461538461538461,0.8504672897196263,0.8461538461538461
3,xgbc,30,0.8798076923076923,0.8803827751196172,0.8798076923076923
4,xgbc,30,0.8990384615384616,0.8995215311004785,0.8990384615384616
5,xgbc,30,0.8605769230769231,0.8625592417061612,0.860576923076923
6,xgbc,30,0.875,0.8761904761904762,0.875
7,xgbc,30,0.8365384615384616,0.8349514563106797,0.8365384615384616
8,xgbc,30,0.8461538461538461,0.8446601941747574,0.8461538461538463
9,xgbc,30,0.8798076923076923,0.8792270531400966,0.8798076923076923
10,xgbc,30,0.8894230769230769,0.8888888888888888,0.889423076923077
1,lr,50,0.7740384615384616,0.7813953488372093,0.7740384615384616
2,lr,50,0.8028846153846154,0.8,0.8028846153846153
3,lr,50,0.8221153846153846,0.8177339901477833,0.8221153846153846
4,lr,50,0.8317307692307693,0.8275862068965517,0.8317307692307694
5,lr,50,0.8269230769230769,0.821782178217822,0.826923076923077
6,lr,50,0.8173076923076923,0.8118811881188118,0.8173076923076923
7,lr,50,0.8076923076923077,0.803921568627451,0.8076923076923076
8,lr,50,0.8269230769230769,0.821782178217822,0.826923076923077
9,lr,50,0.8125,0.8097560975609756,0.8125
10,lr,50,0.8173076923076923,0.8137254901960785,0.8173076923076924
1,rfc,50,0.8317307692307693,0.8416289592760181,0.8317307692307692
2,rfc,50,0.8557692307692307,0.8598130841121494,0.8557692307692306
3,rfc,50,0.8653846153846154,0.8679245283018868,0.8653846153846154
4,rfc,50,0.9086538461538461,0.9107981220657276,0.9086538461538461
5,rfc,50,0.8798076923076923,0.8858447488584474,0.8798076923076923
6,rfc,50,0.8798076923076923,0.8847926267281105,0.8798076923076924
7,rfc,50,0.8798076923076923,0.881516587677725,0.8798076923076923
8,rfc,50,0.8846153846153846,0.888888888888889,0.8846153846153847
9,rfc,50,0.8653846153846154,0.8703703703703703,0.8653846153846153
10,rfc,50,0.8846153846153846,0.889908256880734,0.8846153846153847
1,svc,50,0.7740384615384616,0.7873303167420813,0.7740384615384617
2,svc,50,0.8269230769230769,0.830188679245283,0.826923076923077
3,svc,50,0.7980769230769231,0.8018867924528303,0.798076923076923
4,svc,50,0.8269230769230769,0.8269230769230769,0.8269230769230769
5,svc,50,0.8173076923076923,0.819047619047619,0.8173076923076923
6,svc,50,0.8221153846153846,0.8229665071770335,0.8221153846153846
7,svc,50,0.8269230769230769,0.8317757009345793,0.826923076923077
8,svc,50,0.8365384615384616,0.8349514563106797,0.8365384615384616
9,svc,50,0.8221153846153846,0.8246445497630331,0.8221153846153847
10,svc,50,0.8317307692307693,0.8325358851674641,0.8317307692307692
1,xgbc,50,0.8173076923076923,0.8224299065420562,0.8173076923076924
2,xgbc,50,0.8365384615384616,0.839622641509434,0.8365384615384616
3,xgbc,50,0.8461538461538461,0.8461538461538461,0.8461538461538461
4,xgbc,50,0.9134615384615384,0.9126213592233009,0.9134615384615385
5,xgbc,50,0.8557692307692307,0.8571428571428571,0.8557692307692308
6,xgbc,50,0.875,0.8761904761904762,0.875
7,xgbc,50,0.8557692307692307,0.8514851485148514,0.8557692307692307
8,xgbc,50,0.8846153846153846,0.8867924528301887,0.8846153846153847
9,xgbc,50,0.8557692307692307,0.8557692307692307,0.8557692307692308
10,xgbc,50,0.875,0.875,0.875
